1, Chelsea,32,25,3,4,69:28,41,78
2, Spurs,32,21,8,3,65:22,43,71
3, Liverpool,32,18,9,5,68:40,28,63
4, Man City,32,18,8,6,60:35,25,62
5, Arsenal,32,18,6,8,64:39,25,60
6, Man Utd,32,15,14,3,46:24,22,59
7, Everton,32,15,9,8,57:36,21,54
8, West Brom,32,12,8,12,39:41,-2,44
9, Southampton,32,11,8,13,37:39,-2,41
10, Watford,32,10,7,15,39:56,-17,37
11, Burnley ,32,10,6,16,32:44,-12,36
12, Leicester,32,10,6,16,39:52,-13,36
13, Stoke City,32,9,9,14,34:47,-13,36
14, West Ham,32,10,6,16,42:57,-15,36
15, Bournemouth,32,9,8,15,45:59,-14,35
16, Crystal Palace,32,10,4,18,42:51,-9,34
17, Hull City ,32,8,6,18,33:64,-31,30
18, Swansea,32,8,4,20,37:67,-30,28
19, Middlesbrough ,32,5,12,15,23:37,-14,27
20, Sunderland,32,5,5,22,24:57,-33,20
