1, Man City,8,6,0,2,19:7,12,18
2, Arsenal,8,5,1,2,13:7,6,16
3, Man Utd,8,5,1,2,12:8,4,16
4, Crystal Palace,8,5,0,3,11:7,4,15
5, Leicester,8,4,3,1,17:15,2,15
6, West Ham,8,4,2,2,17:11,6,14
7, Everton,8,3,4,1,12:8,4,13
8, Spurs,8,3,4,1,11:7,4,13
9, Southampton,8,3,3,2,13:10,3,12
10, Liverpool,8,3,3,2,8:10,-2,12
11, Swansea,8,2,4,2,10:10,0,10
12, Watford ,8,2,4,2,6:7,-1,10
13, Norwich ,8,2,3,3,12:14,-2,9
14, Stoke City,8,2,3,3,8:10,-2,9
15, Bournemouth ,8,2,2,4,10:12,-2,8
16, Chelsea,8,2,2,4,12:17,-5,8
17, West Brom,8,2,2,4,6:11,-5,8
18, Aston Villa,8,1,1,6,8:13,-5,4
19, Sunderland,8,0,3,5,8:18,-10,3
20, Newcastle,8,0,3,5,6:17,-11,3
