1, Man City,6,6,0,0,18:5,13,18
2, Spurs,6,4,2,0,10:3,7,14
3, Arsenal,6,4,1,1,15:7,8,13
4, Liverpool,6,4,1,1,16:9,7,13
5, Everton,6,4,1,1,10:4,6,13
6, Man Utd,6,4,0,2,12:7,5,12
7, Crystal Palace,6,3,1,2,10:7,3,10
8, Chelsea,6,3,1,2,10:9,1,10
9, Southampton,6,2,2,2,7:6,1,8
10, West Brom,6,2,2,2,7:6,1,8
11, Watford,6,2,1,3,10:11,-1,7
12, Leicester,6,2,1,3,8:11,-3,7
13, Burnley ,6,2,1,3,5:8,-3,7
14, Hull City ,6,2,1,3,7:12,-5,7
15, Bournemouth,6,2,1,3,4:9,-5,7
16, Middlesbrough ,6,1,2,3,6:9,-3,5
17, Swansea,6,1,1,4,5:10,-5,4
18, West Ham,6,1,0,5,7:16,-9,3
19, Stoke City,6,0,2,4,4:15,-11,2
20, Sunderland,6,0,1,5,5:12,-7,1
