1, Chelsea,5,4,1,0,9:2,7,13
2, Man Utd,5,4,0,1,12:6,6,12
3, Everton,5,3,1,1,9:5,4,10
4, West Brom,5,3,1,1,7:4,3,10
5, Arsenal,5,2,3,0,9:2,7,9
6, Fulham,5,3,0,2,12:7,5,9
7, Man City,5,2,3,0,10:7,3,9
8, Spurs,5,2,2,1,8:6,2,8
9, West Ham ,5,2,2,1,5:4,1,8
10, Newcastle,5,2,2,1,6:6,0,8
11, Swansea,5,2,1,2,10:7,3,7
12, Sunderland,5,1,4,0,7:4,3,7
13, Stoke City,5,0,4,1,4:5,-1,4
14, Aston Villa,5,1,1,3,5:9,-4,4
15, Wigan,5,1,1,3,5:10,-5,4
16, Southampton ,5,1,0,4,9:15,-6,3
17, Norwich,5,0,3,2,2:8,-6,3
18, Liverpool,5,0,2,3,4:10,-6,2
19, QPR,5,0,2,3,3:11,-8,2
20, Reading ,5,0,1,4,4:12,-8,1
