1, Man Utd,7,5,1,1,12:5,7,16
2, Man City,7,5,0,2,13:6,7,15
3, West Ham,7,4,1,2,15:9,6,13
4, Arsenal,7,4,1,2,10:7,3,13
5, Everton,7,3,3,1,11:7,4,12
6, Spurs,7,3,3,1,9:5,4,12
7, Crystal Palace,7,4,0,3,9:7,2,12
8, Leicester,7,3,3,1,15:14,1,12
9, Liverpool,7,3,2,2,7:9,-2,11
10, Southampton,7,2,3,2,10:9,1,9
11, Swansea,7,2,3,2,8:8,0,9
12, Norwich ,7,2,3,2,11:12,-1,9
13, Watford ,7,2,3,2,5:6,-1,9
14, Chelsea,7,2,2,3,11:14,-3,8
15, West Brom,7,2,2,3,6:9,-3,8
16, Bournemouth ,7,2,1,4,9:11,-2,7
17, Stoke City,7,1,3,3,7:10,-3,6
18, Aston Villa,7,1,1,5,8:12,-4,4
19, Newcastle,7,0,3,4,5:11,-6,3
20, Sunderland,7,0,2,5,6:16,-10,2
