1, Chelsea,25,17,5,3,47:20,27,56
2, Arsenal,25,17,4,4,48:26,22,55
3, Man City,25,17,3,5,68:27,41,54
4, Liverpool,25,15,5,5,63:30,33,50
5, Spurs,25,14,5,6,32:32,0,47
6, Everton,25,12,9,4,37:26,11,45
7, Man Utd,25,12,5,8,41:31,10,41
8, Newcastle,25,11,4,10,32:34,-2,37
9, Southampton,25,9,9,7,36:29,7,36
10, Swansea,25,7,6,12,32:35,-3,27
11, Hull City ,25,7,6,12,25:30,-5,27
12, Aston Villa,25,7,6,12,27:36,-9,27
13, Stoke City,25,6,8,11,26:40,-14,26
14, Crystal Palace ,25,8,2,15,18:34,-16,26
15, West Ham,25,6,7,12,26:33,-7,25
16, Norwich,25,6,7,12,19:37,-18,25
17, Sunderland,25,6,6,13,25:38,-13,24
18, West Brom,25,4,11,10,29:37,-8,23
19, Cardiff ,25,5,6,14,19:44,-25,21
20, Fulham,25,6,2,17,24:55,-31,20
