1, Man City,6,5,0,1,12:2,10,15
2, Man Utd,6,4,1,1,9:5,4,13
3, West Ham,6,4,0,2,13:7,6,12
4, Leicester,6,3,3,0,13:9,4,12
5, Arsenal,6,3,1,2,5:5,0,10
6, Everton,6,2,3,1,8:5,3,9
7, Swansea,6,2,3,1,7:5,2,9
8, Crystal Palace,6,3,0,3,8:7,1,9
9, Spurs,6,2,3,1,5:4,1,9
10, Watford ,6,2,3,1,5:5,0,9
11, Norwich ,6,2,2,2,9:10,-1,8
12, West Brom,6,2,2,2,4:6,-2,8
13, Liverpool,6,2,2,2,4:7,-3,8
14, Bournemouth ,6,2,1,3,8:9,-1,7
15, Chelsea,6,2,1,3,9:12,-3,7
16, Southampton,6,1,3,2,7:8,-1,6
17, Aston Villa,6,1,1,4,6:9,-3,4
18, Stoke City,6,0,3,3,5:9,-4,3
19, Newcastle,6,0,2,4,3:9,-6,2
20, Sunderland,6,0,2,4,6:13,-7,2
