1, Arsenal,22,16,3,3,43:19,24,51
2, Man City,22,16,2,4,63:25,38,50
3, Chelsea,22,15,4,3,43:20,23,49
4, Liverpool,22,13,4,5,53:28,25,43
5, Spurs,22,13,4,5,29:26,3,43
6, Everton,22,11,9,2,35:20,15,42
7, Man Utd,22,11,4,7,36:27,9,37
8, Newcastle,22,11,3,8,32:28,4,36
9, Southampton,22,8,7,7,29:25,4,31
10, Aston Villa,22,6,6,10,22:29,-7,24
11, Hull City ,22,6,5,11,22:28,-6,23
12, Norwich,22,6,5,11,18:35,-17,23
13, West Brom,22,4,10,8,24:29,-5,22
14, Stoke City,22,5,7,10,22:36,-14,22
15, Swansea,22,5,6,11,27:33,-6,21
16, Crystal Palace ,22,6,2,14,14:31,-17,20
17, Fulham,22,6,1,15,22:48,-26,19
18, West Ham,22,4,6,12,22:33,-11,18
19, Sunderland,22,4,6,12,21:36,-15,18
20, Cardiff ,22,4,6,12,17:38,-21,18
